name,id,password,department,role,shift,work_time,break_time,ot_time,income_per_month,total_money,late_time,login_time,logout_time,leave_days,ot_pay_per_hour,manager_id
Phonexay Vongdala,1001,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sales,Staff,Morning,09:00,12:00,17:00,3436495,4207661,8,2026-06-08 02:46:41,2026-06-08 02:46:52,8,35000,1022
Sengdao Phimmasone,1002,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,IT,Staff,Morning,09:00,12:00,17:00,2746343,2756343,1,2026-06-08 09:03:00,2026-06-08 17:15:00,6,40000,1016
Sengmany Vongsay,1003,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HR,Staff,Morning,09:00,12:00,17:00,3418655,3498655,10,2026-06-08 09:08:00,2026-06-08 19:00:00,4,40000,1028
Bounmy Phommasane,1004,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,Manager,Morning,09:00,12:00,17:00,2174391,2174391,4,2026-06-08 09:01:00,2026-06-08 17:00:00,6,40000,
Bounmy Vongsay,1005,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Operations,HR,Morning,09:00,12:00,17:00,4252255,4357255,7,2026-06-08 09:06:00,2026-06-08 20:00:00,3,35000,
Ketsana Saysombath,1006,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Support,Staff,Morning,09:00,12:00,17:00,4806250,4806250,2,2026-06-08 09:06:00,2026-06-08 17:00:00,5,35000,1016
Maly Vongsay,1007,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Sales,Staff,Morning,09:00,12:00,17:00,2735230,2742730,3,2026-06-08 09:10:00,2026-06-08 17:15:00,8,30000,1022
Phonexay Inthavong,1008,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,IT,Staff,Morning,09:00,12:00,17:00,3942490,3952490,3,2026-06-08 09:01:00,2026-06-08 17:15:00,8,40000,1004
Souvanna Souvannavong,1009,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,HR,Manager,Morning,09:00,12:00,17:00,2909183,2909183,5,2026-06-08 09:06:00,2026-06-08 17:00:00,6,35000,
Sonephet Phommasane,1010,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Finance,HR,Morning,09:00,12:00,17:00,2397265,2414765,8,2026-06-08 09:01:00,2026-06-08 17:30:00,7,35000,
